Tracheal,Mic,nasal,resp
1.1504666717529775e-05,0.00011261412476793405,0.0,0.0
1.522468909742858e-05,-0.0003400441240049825,0.0,0.0
1.4591439688716154e-05,0.00022040639861651564,0.0,0.0
1.3050278477149127e-05,-0.0004382244856438028,0.0,0.0
1.4746573077998673e-05,0.0004774007527784124,0.0,0.0
1.2607131049566282e-05,-0.0002408744691131975,0.0,0.0
1.4029399048853998e-05,1.0202563515677558e-05,0.0,0.0
1.4481447572543342e-05,0.0001248366013071898,0.0,0.0
1.53537549909713e-05,-7.375193916735747e-06,0.0,0.0
1.4441392640064931e-05,0.00023226011545993336,0.0,0.0
1.747221586429386e-05,-0.0004016498817425794,0.0,0.0
1.3856463467356902e-05,0.0006023702347346208,0.0,0.0
1.3914320592050299e-05,-0.00029273161923653896,0.0,0.0
1.5224689097428567e-05,2.1959639887080633e-05,0.0,0.0
1.578609394471125e-05,0.00047510236260522333,0.0,0.0
1.715495536736002e-05,-0.0005140421149004337,0.0,0.0
1.541924162661124e-05,-0.00011193954884158416,0.0,0.0
1.6519162788331662e-05,0.00022154828208845049,0.0,0.0
1.4227766333510754e-05,-0.00012454159355052187,0.0,0.0
2.0236006205331615e-05,0.00027635423819333217,0.0,0.0
1.5841407899086855e-05,-2.1084789298338324e-05,0.0,0.0
1.602833091731757e-05,3.7267617812363e-05,0.0,0.0
1.4823503980060821e-05,-0.0004562822664733842,0.0,0.0
1.559344879326497e-05,0.00031897968006917296,0.0,0.0
8.340962844280319e-06,0.00036619618015818443,0.0,0.0
2.3871468172222716e-05,-0.00012875054042369143,0.0,0.0
1.4237939014775556e-05,-0.00016804824394089669,0.0,0.0
1.4092978306756658e-05,0.00025052580046285635,0.0,0.0
3.2412705678878077e-06,-0.0003772576994481311,0.0,0.0
2.78775972126835e-05,0.00042842628620838667,0.0,0.0
1.2390325780116549e-05,-0.00048779786882327677,0.0,0.0
1.4320592050048335e-05,0.0002790633503725747,0.0,0.0
1.0430813051548264e-05,-7.987652908115231e-05,0.0,0.0
1.82237226927082e-05,0.0004212863355458898,0.0,0.0
1.2776251875587811e-05,-5.24268202741531e-05,0.0,0.0
1.510198112967581e-05,-0.00037635614557106784,0.0,0.0
1.2465349304442826e-05,-0.00011818112458991354,0.0,0.0
1.567355865822238e-05,0.0004990615701533544,0.0,0.0
1.2462806134126729e-05,0.0003277478955265618,0.0,0.0
1.7991022608783743e-05,-0.0007976729991607519,0.0,0.0
1.3808779023931003e-05,-7.888214948755057e-05,0.0,0.0
1.375600823987138e-05,0.000374036774242771,0.0,0.0
1.6657765570559763e-05,6.789056738129866e-05,0.0,0.0
1.3869179318938149e-05,1.925879301136929e-05,0.0,0.0
1.5686274509802925e-05,-0.0003840218966964213,0.0,0.0
1.6220976068766414e-05,0.0005332118969507372,0.0,0.0
1.5335317006179117e-05,-0.000646721217669944,0.0,0.0
