Mic_plus_dBFS,nasal,resp
-0.0775168129056744,0.0,0.0
1.5139871204257744,0.0,0.0
-0.0762134603714053,0.0,0.0
0.014561807511558599,0.0,0.0
0.0594318610730468,0.0,0.0
-0.1041093684649562,0.0,0.0
-0.01603855472867082,0.0,0.0
0.015420826865084685,0.0,0.0
-0.0601514792923568,0.0,0.0
-0.0919550731218788,0.0,0.0
0.059388932358110796,0.0,0.0
-0.1041215000231567,0.0,0.0
-0.09217842769068431,0.0,0.0
-0.015537327013200798,0.0,0.0
0.0148114266718038,0.0,0.0
-0.0772846920287893,0.0,0.0
-0.015434459588669298,0.0,0.0
-0.0163348308915354,0.0,0.0
-0.1159943894124871,0.0,0.0
-0.0913514484683859,0.0,0.0
-0.040550234387453504,0.0,0.0
-0.0408441600251535,0.0,0.0
-0.0600748923540795,0.0,0.0
0.059701956569092135,0.0,0.0
-0.07750291193672651,0.0,0.0
-0.0770648781888565,0.0,0.0
-0.015667497914245997,0.0,0.0
0.13505421020104072,0.0,0.0
-0.07771888495368941,0.0,0.0
1.5150181083202836,0.0,0.0
0.015289341144986009,0.0,0.0
-0.09175760421213598,0.0,0.0
-0.0410176322155861,0.0,0.0
-0.0402597948004645,0.0,0.0
-0.015618290111799498,0.0,0.0
-0.0768996910115212,0.0,0.0
0.0152352428260216,0.0,0.0
-0.0607729856121349,0.0,0.0
-0.0765869401913488,0.0,0.0
-0.0605673117991597,0.0,0.0
-0.0162266946539016,0.0,0.0
-0.0600100415110186,0.0,0.0
0.1348516314263402,0.0,0.0
-0.0403949465005738,0.0,0.0
-0.09129215000191761,0.0,0.0
-0.0405422907949711,0.0,0.0
-0.0162809595505217,0.0,0.0
-0.06029335640636707,0.0,0.0
-0.0397758886180175,0.0,0.0
-0.0402400299165602,0.0,0.0
-0.0925002830605884,0.0,0.0
-0.0768002460584427,0.0,0.0
0.015180497906004299,0.0,0.0
0.0148911175494519,0.0,0.0
-0.0601852856553689,0.0,0.0
0.1361109883857256,0.0,0.0
-0.0924106464796266,0.0,0.0
-0.0768781052176706,0.0,0.0
-0.0399734573471952,0.0,0.0
-0.016339183527531397,0.0,0.0
-0.0162390989671184,0.0,0.0
-0.040483760365938364,0.0,0.0
-0.07694257140622131,0.0,0.0
-0.0406759897090374,0.0,0.0
-0.0605515562232588,0.0,0.0
-0.015891925065132297,0.0,0.0
-0.0398182578354839,0.0,0.0
-0.0165621451765231,0.0,0.0
0.0152118234063731,0.0,0.0
-0.10411266950002651,0.0,0.0
-0.0409466447025523,0.0,0.0
-0.0399684835418495,0.0,0.0
-0.0600744218675711,0.0,0.0
-0.0774668822070655,0.0,0.0
-0.016004215571477465,0.0,0.0
-0.0403246068601781,0.0,0.0
-0.04051571339358263,0.0,0.0
-0.0774373242100664,0.0,0.0
0.015222706903740899,0.0,0.0
-0.06034374423984028,0.0,0.0
-0.0394943717440824,0.0,0.0
0.015081686202334599,0.0,0.0
-0.1162977902669922,0.0,0.0
-0.0158599809385842,0.0,0.0
-0.0164247484928172,0.0,0.0
0.015557566139263799,0.0,0.0
-0.06033356520065002,0.0,0.0
-0.0158489022528946,0.0,0.0
-0.0608408469330576,0.0,0.0
-0.0774624240295013,0.0,0.0
-0.040281360248952604,0.0,0.0
0.0155575159116501,0.0,0.0
-0.0775612560785337,0.0,0.0
1.5148260786160543,0.0,0.0
-0.0401780674791858,0.0,0.0
-0.09183490260230917,0.0,0.0
-0.04041151589097587,0.0,0.0
0.015546211519594899,0.0,0.0
-0.0160932576863779,0.0,0.0
-0.04049216999438118,0.0,0.0
-0.015786166691744,0.0,0.0
-0.0775063770062822,0.0,0.0
-0.040354601646678936,0.0,0.0
-0.04051311427351955,0.0,0.0
0.0157261128445867,0.0,0.0
-0.10464421434883503,0.0,0.0
0.0591646876796947,0.0,0.0
0.0158446779878943,0.0,0.0
-0.09165461217225908,0.0,0.0
-0.0618817957899025,0.0,0.0
0.0165736961969938,0.0,0.0
-0.059894825087224705,0.0,0.0
-0.040676839763715604,0.0,0.0
-0.015786159062233098,0.0,0.0
-0.0775576282460777,0.0,0.0
-0.0768746172595821,0.0,0.0
-0.060680068341465304,0.0,0.0
-0.04044432278805377,0.0,0.0
-0.060300488091726036,0.0,0.0
0.060454771858631996,0.0,0.0
-0.1050053661506711,0.0,0.0
-0.0612217667977609,0.0,0.0
0.0603787024555141,0.0,0.0
-0.0406728628811338,0.0,0.0
-0.0600660974353338,0.0,0.0
-0.016339311321839797,0.0,0.0
-0.060386432625181445,0.0,0.0
-0.0599143388330602,0.0,0.0
-0.0776787747072562,0.0,0.0
-0.0156906878127735,0.0,0.0
-0.04037592358660925,0.0,0.0
0.0154898116314944,0.0,0.0
1.5142386711238747,0.0,0.0
-0.1165292327531955,0.0,0.0
-0.040206420013455,0.0,0.0
0.015349409556267513,0.0,0.0
-0.015779188868189197,0.0,0.0
-0.1047811863230981,0.0,0.0
0.015138196718343799,0.0,0.0
-0.09166101015298185,0.0,0.0
-0.0599276764897831,0.0,0.0
-0.0604944658644174,0.0,0.0
