index,dBFS_norm
0,0.0879480736489057
1,-0.04059137727113054
2,-0.026810632308402572
3,-0.05291880925737276
4,-0.026810632308402572
5,0.006848670062695635
6,0.006848670062695635
7,0.21648721475154942
8,-0.05291880925737276
9,0.006848670062695635
10,-0.04059137727113054
11,0.006848670062695635
12,-0.04059137727113054
13,-0.05291880925737276
14,0.05428878474812867
15,0.05428878474812867
16,0.006848670062695635
17,-0.08361578589648626
18,-0.07425067964222874
19,0.05428878474812867
20,0.0879480736489057
21,0.006848670062695635
22,-0.026810632308402572
23,-0.011187214728950946
24,-0.011187214728950946
25,-0.026810632308402572
26,-0.06407021483327041
27,-0.04059137727113054
28,-0.05291880925737276
29,-0.011187214728950946
30,-0.026810632308402572
31,-0.05291880925737276
32,-0.05291880925737276
33,-0.05291880925737276
34,-0.011187214728950946
35,0.028180607799158677
36,-0.026810632308402572
37,-0.06407021483327041
38,-0.04059137727113054
39,-0.07425067964222874
40,-0.011187214728950946
41,-0.05291880925737276
42,-0.05291880925737276
43,-0.011187214728950946
44,-0.05291880925737276
45,-0.04059137727113054
46,-0.07425067964222874
47,0.21648721475154942
48,-0.026810632308402572
49,0.21648721475154942
50,-0.011187214728950946
51,-0.011187214728950946
52,-0.011187214728950946
53,-0.04059137727113054
54,0.028180607799158677
55,0.006848670062695635
56,0.0879480736489057
57,0.006848670062695635
58,-0.011187214728950946
59,-0.04059137727113054
60,-0.011187214728950946
61,-0.026810632308402572
62,-0.04059137727113054
63,0.1353882018046601
64,0.006848670062695635
65,0.006848670062695635
66,0.006848670062695635
67,-0.05291880925737276
68,0.05428878474812867
69,0.0879480736489057
70,0.006848670062695635
71,0.0879480736489057
72,-0.026810632308402572
73,-0.026810632308402572
74,-0.011187214728950946
75,-0.026810632308402572
76,0.006848670062695635
77,-0.05291880925737276
78,-0.04059137727113054
79,-0.06407021483327041
80,-0.06407021483327041
81,-0.011187214728950946
82,-0.026810632308402572
83,-0.04059137727113054
84,-0.05291880925737276
85,0.006848670062695635
86,-0.026810632308402572
87,0.05428878474812867
88,-0.026810632308402572
89,-0.011187214728950946
90,0.05428878474812867
91,-0.05291880925737276
92,-0.026810632308402572
93,1.6940645505920713
94,0.028180607799158677
95,0.05428878474812867
96,-0.011187214728950946
97,0.1353882018046601
98,-0.06407021483327041
99,-0.05291880925737276
100,0.028180607799158677
101,-0.026810632308402572
102,0.006848670062695635
103,0.028180607799158677
104,-0.05291880925737276
105,-0.011187214728950946
106,-0.04059137727113054
107,-0.09228649708226828
108,-0.026810632308402572
109,-0.04059137727113054
110,0.006848670062695635
111,0.006848670062695635
112,-0.06407021483327041
113,0.1353882018046601
114,-0.011187214728950946
115,-0.011187214728950946
116,-0.011187214728950946
117,-0.07425067964222874
118,-0.011187214728950946
119,-0.04059137727113054
120,-0.011187214728950946
121,-0.011187214728950946
122,0.006848670062695635
123,-0.011187214728950946
124,0.1353882018046601
125,0.1353882018046601
126,-0.026810632308402572
127,0.05428878474812867
128,-0.07425067964222874
129,-0.06407021483327041
130,-0.04059137727113054
131,0.006848670062695635
132,0.05428878474812867
133,-0.06407021483327041
134,-0.06407021483327041
135,-0.06407021483327041
136,0.006848670062695635
137,-0.026810632308402572
138,0.05428878474812867
139,0.21648721475154942
140,-0.05291880925737276
141,0.21648721475154942
142,0.006848670062695635
143,0.006848670062695635
144,-0.06407021483327041
145,-0.011187214728950946
146,-0.011187214728950946
147,0.028180607799158677
148,-0.026810632308402572
149,-0.04059137727113054
150,-0.07425067964222874
151,-0.011187214728950946
152,0.028180607799158677
153,-0.05291880925737276
154,-0.026810632308402572
155,-0.026810632308402572
156,1.6940645505920713
157,-0.05291880925737276
158,0.028180607799158677
159,-0.05291880925737276
160,-0.05291880925737276
161,-0.011187214728950946
162,-0.026810632308402572
163,-0.07425067964222874
164,-0.05291880925737276
165,-0.011187214728950946
166,0.006848670062695635
167,0.05428878474812867
168,-0.011187214728950946
169,0.006848670062695635
170,-0.07425067964222874
171,-0.04059137727113054
172,-0.04059137727113054
173,-0.026810632308402572
174,-0.06407021483327041
175,-0.08361578589648626
176,-0.04059137727113054
177,-0.04059137727113054
178,-0.011187214728950946
179,0.05428878474812867
180,0.006848670062695635
181,-0.06407021483327041
182,0.006848670062695635
183,-0.05291880925737276
184,0.05428878474812867
185,1.6940645505920713
186,-0.07425067964222874
187,0.0879480736489057
188,0.006848670062695635
189,-0.05291880925737276
190,-0.04059137727113054
191,-0.011187214728950946
192,0.006848670062695635
193,-0.011187214728950946
194,-0.011187214728950946
195,-0.05291880925737276
196,-0.06407021483327041
197,-0.011187214728950946
198,-0.05291880925737276
199,-0.04059137727113054
200,0.006848670062695635
201,-0.05291880925737276
202,0.05428878474812867
203,-0.05291880925737276
204,-0.026810632308402572
205,0.006848670062695635
206,-0.04059137727113054
207,-0.05291880925737276
208,0.0879480736489057
209,0.05428878474812867
210,-0.06407021483327041
211,0.028180607799158677
212,-0.05291880925737276
213,0.006848670062695635
214,-0.05291880925737276
215,-0.06407021483327041
216,0.0879480736489057
217,0.006848670062695635
218,-0.011187214728950946
219,-0.04059137727113054
220,-0.06407021483327041
221,-0.026810632308402572
222,-0.05291880925737276
223,-0.05291880925737276
224,0.05428878474812867
225,-0.05291880925737276
226,-0.011187214728950946
227,-0.08361578589648626
228,-0.026810632308402572
229,-0.05291880925737276
230,0.0879480736489057
231,0.006848670062695635
232,-0.05291880925737276
233,0.028180607799158677
234,-0.026810632308402572
235,1.6940645505920713
236,-0.04059137727113054
237,0.006848670062695635
238,-0.04059137727113054
239,-0.04059137727113054
240,-0.011187214728950946
241,-0.04059137727113054
242,0.05428878474812867
243,-0.026810632308402572
244,-0.026810632308402572
245,0.0879480736489057
246,-0.04059137727113054
247,-0.04059137727113054
248,-0.026810632308402572
249,-0.04059137727113054
250,-0.011187214728950946
251,0.006848670062695635
252,-0.011187214728950946
253,-0.05291880925737276
254,0.028180607799158677
255,0.05428878474812867
256,-0.05291880925737276
257,-0.05291880925737276
258,-0.011187214728950946
259,0.05428878474812867
260,0.006848670062695635
261,-0.026810632308402572
262,-0.011187214728950946
263,0.1353882018046601
264,-0.011187214728950946
265,-0.05291880925737276
