Mic_plus_heater,nasal,resp
0.0882188704241657,0.0,0.0
-0.040938844909288195,0.0,0.0
-0.0271168039469671,0.0,0.0
-0.0519629243612613,0.0,0.0
-0.0275996051219118,0.0,0.0
0.006655237800037,0.0,0.0
0.0073507096852891,0.0,0.0
0.21651113008940956,0.0,0.0
-0.05284876271735591,0.0,0.0
0.0070341612760420995,0.0,0.0
-0.040796216924242,0.0,0.0
0.006612309085101,0.0,0.0
-0.040101469206737496,0.0,0.0
-0.053347003479289695,0.0,0.0
0.0548139278014588,0.0,0.0
0.0537494310948645,0.0,0.0
0.006733323301423,0.0,0.0
-0.0829877754186245,0.0,0.0
-0.0745230404672331,0.0,0.0
0.054410642661203,0.0,0.0
0.0883468586492871,0.0,0.0
0.0067269195985671,0.0,0.0
-0.027226308410231,0.0,0.0
-0.010925136577327101,0.0,0.0
-0.01111055149556416,0.0,0.0
-0.027144198977612298,0.0,0.0
-0.0639657477546102,0.0,0.0
-0.0401964051188455,0.0,0.0
-0.0531772786503179,0.0,0.0
-0.0117367544151236,0.0,0.0
-0.0260858160524579,0.0,0.0
-0.05298024843745459,0.0,0.0
-0.05292618000074138,0.0,0.0
-0.0535079575496338,0.0,0.0
-0.011018525606090401,0.0,0.0
0.028624787753890102,0.0,0.0
-0.026540978052407,0.0,0.0
-0.0641857523323167,0.0,0.0
-0.041027392377562096,0.0,0.0
-0.0736682745660608,0.0,0.0
-0.0114175560224073,0.0,0.0
-0.0530830338447433,0.0,0.0
-0.052591880262688,0.0,0.0
-0.0116482628965966,0.0,0.0
-0.052885271834621495,0.0,0.0
-0.040133293804280795,0.0,0.0
-0.0743644865138748,0.0,0.0
0.2162687252675587,0.0,0.0
-0.026767018209066268,0.0,0.0
0.2171398100568569,0.0,0.0
-0.0109987607221861,0.0,0.0
-0.011937264320772,0.0,0.0
-0.0108181155198769,0.0,0.0
-0.040761659690194095,0.0,0.0
0.0277209450235426,0.0,0.0
0.00700035491303,0.0,0.0
0.0887463824406454,0.0,0.0
0.0061882570518363,0.0,0.0
-0.010895974679104801,0.0,0.0
-0.0401363506950007,0.0,0.0
-0.011463928189951301,0.0,0.0
-0.0269872612089899,0.0,0.0
-0.04064665371374386,0.0,0.0
0.1356149756659555,0.0,0.0
0.0066011642769832,0.0,0.0
0.0066340843451401,0.0,0.0
0.0070192150640943,0.0,0.0
-0.052308583169531596,0.0,0.0
0.053789109638136504,0.0,0.0
0.0878091167302109,0.0,0.0
0.0073474086502187995,0.0,0.0
0.0874299128696784,0.0,0.0
-0.026350631926927,0.0,0.0
-0.026548083670270298,0.0,0.0
-0.011484751668499701,0.0,0.0
-0.026752377813348965,0.0,0.0
0.0069525471258424995,0.0,0.0
-0.05300603872763032,0.0,0.0
-0.0408593562136802,0.0,0.0
-0.06419828825459739,0.0,0.0
-0.06407698856740737,0.0,0.0
-0.0102531025497083,0.0,0.0
-0.0270797264311358,0.0,0.0
-0.040772920212561195,0.0,0.0
-0.0527163201294259,0.0,0.0
0.0064863916364094,0.0,0.0
-0.0266038464942066,0.0,0.0
0.05429219005318188,0.0,0.0
-0.0265970644947661,0.0,0.0
-0.0116910911563052,0.0,0.0
0.053995705986144,0.0,0.0
-0.0527716855830003,0.0,0.0
-0.0266038967218203,0.0,0.0
1.6936726397810542,0.0,0.0
0.0287133943508739,0.0,0.0
0.0545392011922678,0.0,0.0
-0.011271883862492773,0.0,0.0
0.13540516983700923,0.0,0.0
-0.0638747836387434,0.0,0.0
-0.0529495968772196,0.0,0.0
0.02811692172810242,0.0,0.0
-0.0265343289336155,0.0,0.0
0.0065116383239301,0.0,0.0
0.028254490075804668,0.0,0.0
-0.053003439607567246,0.0,0.0
-0.0108118822094321,0.0,0.0
-0.040624183532415814,0.0,0.0
-0.09274710273827891,0.0,0.0
-0.026316734645576097,0.0,0.0
-0.04049575597462227,0.0,0.0
0.0053038447784963996,0.0,0.0
0.0080715859346215,0.0,0.0
-0.0636280694147918,0.0,0.0
0.1351398459642695,0.0,0.0
-0.010910903724653,0.0,0.0
-0.0115754977075119,0.0,0.0
-0.0108924867210163,0.0,0.0
-0.0745937774779907,0.0,0.0
-0.01120305359367967,0.0,0.0
-0.04055489485715323,0.0,0.0
