Mic_plus_fan,nasal,resp
-0.0768985484922567,0.0,0.0
1.5139458244261814,0.0,0.0
-0.0774755169060813,0.0,0.0
0.0163066652211793,0.0,0.0
0.058836320522196096,0.0,0.0
-0.1048048403502083,0.0,0.0
-0.015560430443937498,0.0,0.0
0.015374695662928076,0.0,0.0
-0.06026692396568652,0.0,0.0
-0.0915647422554208,0.0,0.0
0.059420453682593896,0.0,0.0
-0.1048477690651443,0.0,0.0
-0.0912603254043743,0.0,0.0
-0.016490664288447997,0.0,0.0
0.015875923378398098,0.0,0.0
-0.0777086989207808,0.0,0.0
-0.016177816827803598,0.0,0.0
-0.015434459588669298,0.0,0.0
-0.1163886081505659,0.0,0.0
-0.0916283755556929,0.0,0.0
-0.0400296989229436,0.0,0.0
-0.040550234387453504,0.0,0.0
-0.0607526466075318,0.0,0.0
0.0598873714873292,0.0,0.0
-0.07709268203412996,0.0,0.0
-0.07750291193672651,0.0,0.0
-0.015958002987870798,0.0,0.0
0.13570765174627092,0.0,0.0
-0.0774278146604619,0.0,0.0
1.5137437523781663,0.0,0.0
0.0160755965810125,0.0,0.0
-0.0918116726488492,0.0,0.0
-0.04043585466669369,0.0,0.0
-0.0410176322155861,0.0,0.0
-0.0158937809436705,0.0,0.0
-0.0767251653127852,0.0,0.0
0.0156204345810634,0.0,0.0
-0.060452508004749606,0.0,0.0
-0.0776053603739483,0.0,0.0
-0.0597545654295354,0.0,0.0
-0.0162928113599874,0.0,0.0
-0.0605011950930739,0.0,0.0
0.1356396085886706,0.0,0.0
-0.0408895320909707,0.0,0.0
-0.09171669604601611,0.0,0.0
-0.0399704004564753,0.0,0.0
-0.0161762769381771,0.0,0.0
-0.060555459989694,0.0,0.0
-0.04038486982398877,0.0,0.0
-0.0397758886180175,0.0,0.0
-0.0915617794620025,0.0,0.0
-0.0779193948593378,0.0,0.0
0.0157198795341419,0.0,0.0
0.015180497906004299,0.0,0.0
-0.060796633281319304,0.0,0.0
0.1354643644443203,0.0,0.0
-0.0909519246770276,0.0,0.0
-0.077829758278376,0.0,0.0
-0.0401372438734789,0.0,0.0
-0.015607443490401197,0.0,0.0
-0.016339183527531397,0.0,0.0
-0.0406051128239124,0.0,0.0
-0.07722462171013006,0.0,0.0
